date,DJIA
2015-11-01,17792.68
2015-12-01,17888.35
2016-01-01,17148.94
2016-02-01,16449.18
2016-03-01,16865.08
2016-04-01,17792.75
2016-05-01,17891.16
2016-06-01,17789.67
2016-07-01,17949.37
2016-08-01,18404.51
2016-09-01,18419.3
2016-10-01,18253.85
2016-11-01,18037.1
2016-12-01,19191.93
2017-01-01,19881.76
2017-02-01,19890.94
2017-03-01,21115.55
2017-04-01,20650.21
2017-05-01,20913.46
2017-06-01,21144.18
2017-07-01,21479.27
2017-08-01,21963.92
2017-09-01,21987.56
2017-10-01,22557.6
2017-11-01,23435.01
2017-12-01,24231.59
2018-01-01,24824.01
2018-02-01,26186.71
2018-03-01,24608.98
2018-04-01,23644.19
2018-05-01,24099.05
2018-06-01,24635.21
2018-07-01,24307.18
2018-08-01,25333.82
2018-09-01,25952.48
2018-10-01,26651.21
2018-11-01,25380.74
2018-12-01,25826.43
2019-01-01,23346.24
2019-02-01,25063.89
2019-03-01,26026.32
2019-04-01,26258.42
2019-05-01,26430.14
2019-06-01,24819.78
2019-07-01,26717.43
2019-08-01,26583.42
2019-09-01,26118.02
2019-10-01,26573.04
2019-11-01,27347.36
2019-12-01,27783.04
2020-01-01,28868.8
2020-02-01,28399.81
2020-03-01,26703.32
2020-04-01,20943.51
2020-05-01,23723.69
2020-06-01,25475.02
2020-07-01,25734.97
2020-08-01,26664.4
2020-09-01,28645.66
2020-10-01,27816.9
2020-11-01,26925.05
2020-12-01,29823.92
2021-01-01,30223.89
2021-02-01,30211.91
2021-03-01,31535.51
2021-04-01,33153.21
2021-05-01,34113.23
2021-06-01,34575.31
2021-07-01,34633.53
2021-08-01,34838.16
2021-09-01,35312.53
2021-10-01,34326.46
2021-11-01,35913.84
2021-12-01,34022.04
2022-01-01,36585.06
2022-02-01,35405.24
2022-03-01,33294.95
2022-04-01,34818.27
2022-05-01,33061.5
2022-06-01,32813.23
2022-07-01,31097.26
2022-08-01,32798.4
2022-09-01,31656.42
2022-10-01,29490.89
2022-11-01,32653.2
2022-12-01,34395.01
2023-01-01,33136.37
2023-02-01,34092.96
2023-03-01,32661.84
2023-04-01,33601.15
2023-05-01,34051.7
2023-06-01,33061.57
2023-07-01,34418.47
2023-08-01,35630.68
2023-09-01,34837.71
2023-10-01,33433.35
2023-11-01,33274.58
2023-12-01,36245.5
2024-01-01,37715.04
2024-02-01,38519.84
2024-03-01,39087.38
2024-04-01,39566.85
2024-05-01,37903.29
2024-06-01,38571.03
2024-07-01,39169.52
2024-08-01,40347.97
2024-09-01,40936.93
2024-10-01,42156.97
2024-11-01,42052.19
2024-12-01,44782.0
2025-01-01,42392.27
2025-02-01,44421.91
2025-03-01,43191.24
2025-04-01,41989.96
2025-05-01,40752.96
2025-06-01,42305.48
2025-07-01,44494.94
2025-08-01,43588.58
2025-09-01,45295.81
2025-10-01,46441.1
2025-11-01,47336.68
