Borough,response,percentage
Bronx,Strongly support,0.15
Bronx,Somewhat support,0.01
Bronx,Neutral or no opinion,0.13
Bronx,Somewhat oppose,0.04
Bronx,Strongly oppose,0.68
Brooklyn,Strongly support,0.41
Brooklyn,Somewhat support,0.13
Brooklyn,Neutral or no opinion,0.05
Brooklyn,Somewhat oppose,0.07
Brooklyn,Strongly oppose,0.34
Manhattan,Strongly support,0.47
Manhattan,Somewhat support,0.1
Manhattan,Neutral or no opinion,0.11
Manhattan,Somewhat oppose,0.04
Manhattan,Strongly oppose,0.28
Queens,Strongly support,0.28
Queens,Somewhat support,0.12
Queens,Neutral or no opinion,0.1
Queens,Somewhat oppose,0.06
Queens,Strongly oppose,0.45
Staten Island,Strongly support,0.07
Staten Island,Somewhat support,0.05
Staten Island,Neutral or no opinion,0.15
Staten Island,Somewhat oppose,0.1
Staten Island,Strongly oppose,0.64
